id,authors,year,title,publication,doi
hoffmann2004,Hoffmann et al.,2004,U-Pb zircon date from the Neoproterozoic Ghaub Formation Namibia: Constraints on Marinoan glaciation,Geology, https://doi.org/10.1130/G20519.1
narbonne2012,Xiao and Narbonne,2012,The Ediacaran Period,Earth-Science Reviews,https://doi.org/10.1016/B978-0-12-824360-2.00018-8
gradstein2020,Gradstein et al.,2020,Geologic Time Scale 2020,Elsevier,10.1016/C2020-1-02369-3
baud2010,Baud et al.,2010,Permian–Triassic boundary interval in the Middle East (Iran and N. Oman): Progressive environmental change from detailed carbonate carbon isotope marine curve and sedimentary evolution,Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2009.12.014
hacker1991,Hacker,1991,Samail Ophiolite,Tectonics,https://doi.org/10.1029%2F90TC02779
moustafa2013,Moustafa,2013,Syrian Arc,Marine and Petroleum Geology,https://doi.org/10.1016%2Fj.marpetgeo.2013.08.007

